"PersonUrn","Label","Description"
"urn:cite:digAth:pers.pers1","Athenaeus","The author of the Deipnosophistae"
"urn:cite:digAth:pers.pers2","Timocrates","The friend of Athenaeus, interlocutor in the Deipnosophistae"
"urn:cite:digAth:pers.pers3","Larensius","A Roman, host of the banquet in the Deipnosophistae"
"urn:cite:digAth:pers.pers4","Masurius","a jurist"
"urn:cite:digAth:pers.pers5","the Athenian orators","the Athenian orators"
"urn:cite:digAth:pers.pers6","Archilochus","the lyric poet"
"urn:cite:digAth:pers.pers7","the successors of Archilochus","the successors of Archilochus"
"urn:cite:digAth:pers.pers8","Plutarch","one of the wittiest grammarians"
"urn:cite:digAth:pers.pers9","Leonides of Elis","one of the wittiest grammarians"
"urn:cite:digAth:pers.pers10","Aemilianus Maurus","one of the wittiest grammarians"
"urn:cite:digAth:pers.pers11","Zoilus","one of the wittiest grammarians"
"urn:cite:digAth:pers.pers12","Pontianus","the philosopher from Nicomedia"
"urn:cite:digAth:pers.pers13","Democritus',"the philosopher from Nicomedia"
