AthenaeusUrn,HomericTextContent,HomerUrn
"urn:cts:greekLit:tlg0008.tlg001.berti:1.5@πλεῖαί[1]-1.5@κλισίαι[1]","πλεῖαί τοι οἴνου κλισίαι","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.71"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.5@δαίνυ[1]-1.5@τοι[1]","δαίνυ δαῖτα γέρουσι ἔοικέ τοι","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.70"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.5@δαῖτα[1]-1.5@θάλειαν[1]","δαῖτα θάλειαν","urn:cts:greekLit:tlg0012.tlg001.ogl01:7.475"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.6@χαίρετε[1]-1.6@ἄγγελοι[1]","χαίρετε, κήρυκες, Διὸς ἄγγελοι","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.334"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.15@νώτοισι[1]-1.15@γέραιρεν[1]","νώτοισι γέραιρεν","urn:cts:greekLit:tlg0012.tlg001.ogl01:7.321"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.16@ἀρνῶν[1]-1.16@ἁρπακτῆρες[1]","ἀρνῶν ἠδ᾽ ἐρίφων ἐπιδήμιοι ἁρπακτῆρες","urn:cts:greekLit:tlg0012.tlg001.ogl01:24.262"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.16@Ἑλλήσποντον[1]-1.16@προσαγορεύων[1]","Ἑλλήσποντον ἰχθυόεντα","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.360"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.17@ὃς[1]-1.17@ἐδωδῆς[1]","ὃς δέ κ᾽ ἀνὴρ οἴνοιο κορεσσάμενος καὶ ἐδωδῆς","urn:cts:greekLit:tlg0012.tlg001.ogl01:19.167"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.16@αὐτὰρ[1]-1.16@ἕντο[1]","αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο","urn:cts:greekLit:tlg0012.tlg001.ogl01:1.469"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.17@τὸν[2]-1.17@Πράμνειον[1]","οἶνον Πράμνειον","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.639"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.17@καίτοι[1]-1.17@ἀπογυιοῦν[1]","τὸν οἶνον ἐκλύειν τὴν ἰσχὺν καὶ ἀπογυιοῦν","urn:cts:greekLit:tlg0012.tlg001.ogl01:6.264"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.17@καίτοι[1]-1.17@ἀπογυιοῦν[1]","τὸν οἶνον ἐκλύειν τὴν ἰσχὺν καὶ ἀπογυιοῦν","urn:cts:greekLit:tlg0012.tlg001.ogl01:6.265"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.17@σὺ[1]-1.17@καθήμενος[1]","σὺ μέν πῖνε καθήμενος","urn:cts:greekLit:tlg0012.tlg001.ogl01:14.5"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.17@σὺ[1]-1.17@ἐπὶ[1]-1.17@ὄψον[1]","ἐπὶ δὲ κρόμυον ποτοῦ ὄψον","urn:cts:greekLit:tlg0012.tlg001.ogl01:11.630"
